,acc,F1,rcl,prs,jac,loss,mcc
svm,0.551594746716698,0.4327085365147649,0.53595697287543,0.6590880738522954,0.3121122643760439,0.44840525328330205,0.15126566770171465
xgb,0.7335834896810507,0.7335750492818924,0.7343159645858004,0.7341575091575092,0.5792509481668773,0.26641651031894936,0.46847344694550264
cat,0.7373358348968105,0.7373275133765136,0.7380730840805279,0.737912087912088,0.5839441844034267,0.2626641651031895,0.47598514476512155
