,acc,mcc,F1,rcl,prs,jac,loss
svm,0.4520547945205479,0.37244788308618093,0.490719696969697,0.4734848484848485,0.2524601008848094,0.547945205479452,-0.031373150364922206
xgb,0.6917808219178082,0.6875445855328863,0.6869318181818183,0.6887550200803212,0.5250331564986738,0.3082191780821918,0.37568241425203847
cat,0.678082191780822,0.6762443972635055,0.6770833333333333,0.675983436853002,0.5113660848954966,0.3219178082191781,0.3530650569477856
