,acc,mcc,prs,rcl,F1,jac,loss
svm,0.4782608695652174,0.11393672887083216,0.3094185094185094,0.39187479187479185,0.3455590265725636,0.23516431924882628,0.5217391304347826
xgb,0.6032608695652174,0.3547215422267651,0.5396123328665953,0.5334647808332019,0.5209506741764806,0.3748917748917749,0.3967391304347826
cat,0.6086956521739131,0.3532459457958142,0.5465030787611432,0.5347301820986031,0.5266381766381766,0.3802634045744282,0.391304347826087
