,model,acc,mcc,prs,rcl,F1,jac,loss
0,SVM,0.4178082191780822,-0.13591879797196538,0.4395833333333333,0.423556194584232,0.39719240297274977,0.25387596899224807,0.5821917808219178
1,XGBT,0.6575342465753424,0.31523701301461154,0.6583333333333333,0.6569069069069069,0.6565029173724826,0.4889445139758031,0.3424657534246575
2,Cat,0.6643835616438356,0.3302891295379082,0.6659090909090909,0.6643835616438356,0.6636102882399962,0.49678744470191705,0.3356164383561644
3,Tuned,0.726027397260274,0.4618303634569884,0.731439393939394,0.7303921568627451,0.725975975975976,0.5698427382053655,0.273972602739726
