,model,acc,mcc,prs,rcl,F1,jac,loss
0,SVM,0.6335078534031413,0.26730158869497506,0.6335432859823104,0.633758389261745,0.6333727392385317,0.4634956474073687,0.36649214659685864
1,XGBT,0.7190226876090751,0.4380497551229259,0.7190248775614629,0.7190248775614629,0.7190226876090751,0.5613079019073569,0.28097731239092494
2,Cat,0.7102966841186736,0.4205916035184328,0.7102958017592165,0.7102958017592165,0.7102958017592165,0.5507434263531825,0.28970331588132636
3,Tuned,0.7364746945898778,0.48540690887668375,0.7362759192027485,0.7493058412176059,0.7329314479910363,0.5793774768188988,0.26352530541012215
