,model,acc,mcc,prs,rcl,F1,jac,loss
0,SVM,0.3835616438356164,0.0,0.3333333333333333,0.1278538812785388,0.18481848184818483,0.1278538812785388,0.6164383561643836
1,XGBT,0.5273972602739726,0.28255936426107336,0.5148809523809524,0.5155870155870156,0.513863396152967,0.3497855741846832,0.4726027397260274
2,Cat,0.5342465753424658,0.2920466683296558,0.5188492063492064,0.5310573731626363,0.5170417098201676,0.35188565358056884,0.4657534246575342
3,Tuned,0.5753424657534246,0.3552493258787359,0.5615079365079364,0.5667917267917267,0.5609603841536615,0.39440989957312406,0.4246575342465753
