,model,acc,mcc,prs,rcl,F1,jac,loss
0,SVM,0.4673913043478261,0.07858510189731237,0.3749583749583749,0.29907347554406377,0.3325396825396825,0.2241846226304015,0.532608695652174
1,XGBT,0.5760869565217391,0.316962878284729,0.5226562910773437,0.5122590916708564,0.512026681040291,0.3635831381733021,0.42391304347826086
2,Cat,0.5706521739130435,0.29510136721463925,0.5066915540599751,0.51003626003626,0.4980036297640653,0.3500671101774043,0.42934782608695654
3,Tuned,0.5760869565217391,0.31853408765435587,0.5277652172389015,0.5195160461188221,0.5185046209436454,0.36680327868852464,0.42391304347826086
