,model,acc,mcc,prs,rcl,F1,jac,loss
0,SVM,0.7242582897033158,0.0,0.3333333333333333,0.2414194299011053,0.2800269905533063,0.2414194299011053,0.2757417102966841
1,XGBT,0.7818499127399651,0.40198591550033236,0.5577233665846181,0.8230574930394098,0.6244088560076236,0.47750989690433226,0.2181500872600349
2,Cat,0.7818499127399651,0.38280289652867233,0.42316362223085885,0.5178983094262295,0.433447201246554,0.34682130777480297,0.2181500872600349
3,Tuned,0.8342059336823735,0.5746986635873944,0.7392840177915966,0.863264943600675,0.7893705140458387,0.660144023464005,0.16579406631762653
