,model,acc,mcc,prs,rcl,F1,jac,loss
0,SVM,0.5869565217391305,0.1703566351166569,0.5856049736967958,0.5847537878787878,0.5845513963161022,0.41368464779538305,0.41304347826086957
1,XGBT,0.6413043478260869,0.28932076578471344,0.6453849832615973,0.643939393939394,0.6409225310467179,0.4716956967213115,0.358695652173913
2,Cat,0.6793478260869565,0.36204346813134913,0.6820899091343855,0.6799598251211154,0.6785788304959289,0.5137362637362637,0.32065217391304346
3,Tuned,0.7391304347826086,0.5337719051199591,0.757532281205165,0.7765793528505393,0.7371428571428571,0.5842293906810037,0.2608695652173913
